205,14.50,0.10,I	      
268,14.87,0.10,I	      
333,15.22,0.10,I	      
428,16.76,0.10,V
556,17.19,0.10,V	      
656,16.29,0.11,I	      
720,16.42,0.12,I	      
785,16.54,0.12,I	      
868,17.88,0.12,V	      
933,17.97,0.12,V	      
996,17.99,0.12,V	      
1082,17.09,0.13,I	      
1145,17.16,0.14,I	      
1210,17.30,0.14,I	      
1293,18.52,0.14,V	      
1358,18.55,0.15,V	      
1421,18.53,0.15,V	      
1506,17.68,0.16,I	      
1569,17.81,0.17,I	      
1634,17.70,0.16,I	      
1717,18.84,0.17,V	      
1783,18.97,0.18,V	      
1846,18.89,0.17,V	      
1931,18.03,0.18,I	
2060,18.15,0.19,I 
2143,19.15,0.20,V 
2208,19.23,0.20,V 
2271,19.33,0.22,V 
2362,18.33,0.20,I 
2426,18.14,0.19,I 
2489,18.37,0.20,I 
2573,19.47,0.22,V 
2636,19.44,0.23,V 
2787,18.59,0.22,I 
2851,18.51,0.22,I 
2914,18.53,0.22,I 
2999,19.87,0.28,V 
3127,19.77,0.27,V 
3214,18.59,0.23,I 
3277,18.74,0.25,I 
3342,18.59,0.23,I 
3637,19.00,0.29,I 
3978,19.73,0.25,V 
4061,18.71,0.24,I 
4126,18.97,0.28,I 
4188,18.99,0.28,I 
4485,19.16,0.30,I 
4548,19.02,0.28,I
